PLAYER NAME,TEAM,OPP,MATCHUP RATING,START/SIT,PROJ. FPTS,AVG. POINTS ,% GAMES ,OPPORTUNITY ,EFFICIENCY 
Austin Walter,NYJ,vs. PHI,8.2,F,3,-,-,33%,Average
Jalen Richard,LV,vs. WAS,4.8,F,3,-0.9,28% (4/14),3%,Awful
Qadree Ollison,ATL,vs. TB,6,F,2.6,0,33% (1/3),4%,Awful
Justin Jackson,LAC,at CIN,6.2,F,2.5,-0.4,36% (4/11),5%,Awful
C.J. Ham,MIN,at DET,8.6,F,2.5,0.8,56% (9/16),2%,Awful
Godwin Igwebuike,DET,vs. MIN,6.6,F,2.5,-,-,1%,Great
Zack Moss,BUF,vs. NE,6,F,2.3,0.1,42% (6/14),15%,Average
Larry Rountree III,LAC,at CIN,6.6,F,2.2,-1.4,22% (2/9),7%,Poor
Anthony McFarland Jr.,PIT,vs. BAL,6.2,F,2.2,-1,28% (2/7),0%,Awful
Duke Johnson Jr.,MIA,vs. NYG,4.8,F,2,-3.3,0% (0/4),2%,Awful
Ty'Son Williams,BAL,at PIT,4.6,F,1.9,-2.2,20% (2/10),9%,Poor
Patrick Laird,MIA,vs. NYG,4.6,F,1.9,-0.4,30% (3/10),1%,Awful
Dare Ogunbowale,JAC,at LAR,5,F,1.8,-0.4,25% (4/16),2%,Awful
Elijhaa Penny,NYG,at MIA,5.6,F,1.8,0.4,50% (7/14),2%,Great
Darius Bradwell,LAC,at CIN,5.6,F,1.7,-,-,0%,N/A
Corey Clement,DAL,at NO,2.4,F,1.6,-0.7,6% (1/16),0%,Awful
Jordan Howard,PHI,at NYJ,-,F,1.5,1.9,66% (6/9),17%,Good
Marlon Mack,IND,at HOU,5.4,F,1.5,-0.6,37% (3/8),1%,Awful
Chase Edmonds,ARI,at CHI,-,F,1.5,-1.3,28% (4/14),8%,Awful
Travis Homer,SEA,vs. SF,-,F,1.5,0.5,45% (5/11),2%,Awful
Ty Montgomery,NO,vs. DAL,-,F,1.5,-0.5,18% (2/11),3%,Awful
