PLAYER NAME,TEAM,OPP,MATCHUP RATING,START/SIT,PROJ. FPTS,AVG. POINTS ,% GAMES ,OPPORTUNITY ,EFFICIENCY 
Jalen Guyton,LAC,at CIN,7.6,F,4.6,-1.1,25% (4/16),5%,Awful
N'Keal Harry,NE,at BUF,4.4,F,4.6,-0.8,46% (6/13),1%,Awful
Mack Hollins,MIA,vs. NYG,6.6,F,4.6,0.2,35% (6/17),5%,Great
Scotty Miller,TB,at ATL,7.8,F,4.6,-0.9,20% (2/10),1%,Awful
D'Wayne Eskridge,SEA,vs. SF,7,F,4.5,-1.7,0% (0/4),2%,Awful
Ray-Ray McCloud,PIT,vs. BAL,7,F,4.5,-0.6,18% (3/16),3%,Awful
Damiere Byrd,CHI,vs. ARI,5.8,F,4.3,-2.6,12% (2/16),4%,Awful
Noah Brown,DAL,at NO,9.4,F,4.2,0.2,46% (7/15),2%,Awful
Tavon Austin,JAC,at LAR,6,F,4.2,-0.8,27% (3/11),3%,Great
Braxton Berrios,NYJ,vs. PHI,6,F,4.2,1,56% (9/16),2%,Great
Collin Johnson,NYG,at MIA,7.4,F,4,-0.7,23% (3/13),2%,Awful
Malik Turner,DAL,at NO,9,F,4,1.1,20% (2/10),14%,Average
Jakeem Grant Sr.,CHI,vs. ARI,6.4,F,3.9,-1,21% (3/14),3%,Awful
Cam Sims,WAS,at LV,8,F,3.6,0.3,38% (5/13),5%,Average
Travis Benjamin,SF,at SEA,3.6,F,3.6,-0.8,0% (0/5),6%,Awful
DeVante Parker,MIA,vs. NYG,-,F,3.1,-1.3,50% (4/8),9%,Awful
Josh Gordon,KC,vs. DEN,4,F,2.8,-,-,3%,Awful
Lil'Jordan Humphrey,NO,vs. DAL,6.4,F,2.2,0.1,40% (4/10),6%,Good
Isaiah Ford,MIA,vs. NYG,6.6,F,2.1,0.1,46% (6/13),2%,Great
Preston Williams,MIA,vs. NYG,6.6,F,1.9,-2.3,16% (1/6),5%,Awful
Ashton Dulin,IND,at HOU,6.2,F,1.9,-0.2,23% (4/17),2%,Good
Kenny Stills,NO,vs. DAL,6.4,F,1.8,-2.3,11% (1/9),7%,Poor
Antoine Wesley,ARI,at CHI,8.6,F,1.8,0,33% (3/9),2%,Awful
John Ross,NYG,at MIA,7.8,F,-,0.1,22% (2/9),3%,Good
Chris Moore,HOU,vs. IND,6.4,F,-,-1.5,0% (0/11),4%,Great
Mike Thomas,CIN,vs. LAC,4.8,F,-,-1.3,25% (3/12),2%,Awful
Dyami Brown,WAS,at LV,8,F,-,-3.1,11% (1/9),6%,Awful
J.J. Arcega-Whiteside,PHI,at NYJ,9.2,F,-,0.4,27% (3/11),0%,N/A
Dede Westbrook,MIN,at DET,5.2,F,-,-0.4,20% (2/10),4%,Awful
Greg Ward,PHI,at NYJ,9.2,F,-,0.5,23% (4/17),8%,Average
Pharoh Cooper,NYG,at MIA,7.4,F,-,-,-,5%,Awful
Christian Blake,ATL,vs. TB,3.4,F,-,-1.2,6% (1/16),3%,Awful
Jeff Smith,NYJ,vs. PHI,5.8,F,-,-0.5,25% (3/12),1%,Awful
Kendall Hinton,DEN,at KC,6.4,F,-,-0.2,40% (4/10),5%,Poor
Dezmon Patmon,IND,at HOU,6.4,F,-,-1.3,0% (0/5),0%,Awful
Stanley Morgan Jr.,CIN,vs. LAC,4.8,F,-,-0.3,7% (1/14),1%,Awful
KhaDarel Hodge,DET,vs. MIN,7.2,F,-,-1.6,23% (3/13),8%,Awful
Jake Kumerow,BUF,vs. NE,3,F,-,-0.1,7% (1/13),3%,Awful
